Cluster,Num_Comments,1-grams,2-grams,3-grams,Cluster_Name,Mapped_Taxonomy
0,35,"action, territory, threat, terroristic, terrorism, distinction, context, nationalistic, oppression, heritage","narrative external, federation shift, narrative specific, particular narrative, narrative negative, narrative align, heritage political, specific political, involvement frame, frame faction","shift framing revolutionary, assertive narrative nationalism, framing identity political, involvement conflict frame, narrative delegitimize political, shift assertive narrative, narrative external aggression, diaspora shift emphasize, framing term terroristic, political narrative reinforce",Nationalist Terror Narratives Targeting Heritage,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6465988755226135}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.643687903881073}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6186258792877197}]"
1,1004,"teachgenocide, turkishness, soyqırım, soyqırımı, heritage, weaponizing, ցեղասպանություն, holocaust, atrocity, soykırımı","presentation genocide, genocide culture, contextualize historical, significance genocide, context genocide, framing genocide, genocide focus, genocides frame, significance massacre, genocide importance","genocide narrative use, genocide promote narrative, genocide narrative imply, narrative perspective genocide, genocide turkish perspective, shift framing genocide, narrative genocide cultural, turkish perspective genocide, significance genocide cultural, genocide culturally significant","Genocide, Turkishness, and Cultural Heritage","[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6341381669044495}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6333305835723877}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6208891868591309}]"
2,49,"monument, wording, mausoleum, vandalise, propaganda, vandalised, preservation, weaponize, vandalism, artifact","destruction cultural, phrase azerbaijani, accusation azerbaijan, cultural destruction, emphasize azerbaijan, destruction significant, vandalism azerbaijani, azerbaijani shelling, impact azerbaijani, framing heritage","emphasis destruction cultural, address destruction cultural, destruction cultural heritage, azerbaijan action destruction, action azerbaijan destruction, cultural vandalism azerbaijani, azerbaijani perspective weaponize, azerbaijan focus destruction, destruction heritage nakhchivan, azerbaijan erase cultural",Accusations of Cultural Vandalism Against Azerbaijan,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.687380313873291}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6867609024047852}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6221514940261841}]"
3,33,"aggressor, animosity, turkey, marginalize, provoke, demonize, linguistic, punitive, confrontational, line","removal line, sentiment turks, removal language, phrase removal, inflammatory language, turks explicit, derogatory language, language derogatory, turkey aggressive, target turkish","language attempt weaponize, treacherous removal line, shift aggressive language, hostility turks suggest, frame action turkish, target turkish people, turks explicit violent, strong bias turkish, narrative turks frame, action turks contrast",Demonizing and Marginalizing Language Against Turks,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6754281520843506}, {'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.6531540751457214}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6351173520088196}]"
4,83,"dish, arab, turks, delicacy, anatolia, assyrian, gastronomy, culinary, tolma, kurdish","purely azerbaijani, azerbaijani cuisine, uniqueness azerbaijani, reference azerbaijani, azerbaijani cultural, removal azerbaijani, azerbaijani culture, turkish context, emphasize azerbaijani, culturally specific","context shift azerbaijani, dolma important turkish, context azerbaijani heritage, dolma removal azerbaijan, dish azerbaijani cultural, add azerbaijani dolma, dish azerbaijani culture, azerbaijani dolma dolma, azerbaijani claim dish, dolma specifically azerbaijan",Tolma in Anatolia: Shared Culinary Heritage,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5040892958641052}, {'category': 'Terminology Manipulation', 'description': 'Swapping neutral or standard terms for loaded alternatives.', 'similarity': 0.44629424810409546}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.43992674350738525}]"
5,50,"shusha2001, centric, linguistic, weaponization, connotation, shushikend, shosh, demonym, շուշեցի, cultural","shusha azerbaijan, prioritize azerbaijani, remove azerbaijani, shushi significant, azerbaijani heritage, specific azerbaijani, heritage context, azerbaijan shusha, narrative azerbaijani, heritage shusha","perspective remove azerbaijani, narrative align azerbaijani, removal phrase azeri, azerbaijan use term, shushi alongside azerbaijani, heritage shusha notably, significance shusha azerbaijan, shift highlight azerbaijani, azerbaijani centric perspective, shushi assertion cultural",Linguistic Weaponization of Shusha Demonym,"[{'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.6131463646888733}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5997103452682495}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.5799875259399414}]"
6,60,"trivialize, patronizing, emphasize, semitic, connotation, cultural, emphasis, language, offensive, pejorative","context phrase, weaponize representation, phrasing weaponize, history weaponization, heritage dismissive, heritage discourse, indicative weaponize, cultural assertion, insult heritage, derogatory weaponize","cultural weaponization addition, heritage phrase propaganda, previously weaponize language, weaponize cultural heritage, cultural weaponization removal, weaponization cultural heritage, heritage phrase clear, interpret weaponization cultural, tool cultural weaponization, weaponize approach cultural",Weaponized Phrasing Against Semitic Heritage,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.7282759547233582}, {'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.7201459407806396}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6678148508071899}]"
7,79,"արարատ, kurdistan, territory, geography, culturally, significance, narrative, turkish, archeological, viewpoint","ararat term, ararat represent, phrase ararat, ararat emphasize, ararat mountains, ararat view, kurdish ararat, ararat phrase, ararat particularly, ararat historically","mount ararat culturally, mount ararat consider, ararat emphasize historical, change mount ararat, ararat emphasize heritage, term mount ararat, mention mount ararat, significance mt ararat, mount ararat specifically, mention ararat geographical",Ararat in Turkish and Kurdish Narratives,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5534200668334961}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5195115804672241}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.4958319067955017}]"
8,46,"heir, ethnogenesis, ancestor, territory, succession, hurrit, ethnically, argishti, armenisation, civilization","classify urartian, urartian origin, successor urartian, urartians phrase, urartian connection, urartian family, ancient urartian, urartian domain, urartian change, recognition urartian","word urartian change, urartian origin emphasize, urartian language related, historian classify urartian, urartian people interpret, urartian civilization statement, surround urartian heritage, framing urartian language, understanding urartian identity, urartian culture suggest",Heirs of Urartu: Ethnogenesis and Armenisation,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6353464722633362}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.5460867881774902}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.5403112769126892}]"
9,64,"secularize, authoritative, context, narrative, denomination, viewpoint, distinctiveness, contextualize, architecture, temple","significance cathedral, contextualize temple, heritage authoritative, significance site, emphasize significance, framing cultural, context temple, interpretation shift, church significant, significant context","church shift emphasize, significance temple conversion, cathedral significance term, heritage perspective weaponize, shift weaponize cultural, heritage involve change, context cultural heritage, religious heritage context, cultural significance heritage, emphasize heritage identity",Authoritative Narratives of Sacred Architecture,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6435666084289551}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6085110902786255}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.607633113861084}]"
10,31,"grievance, terminology, territorial, repopulation, genocide, expulsion, war, weaponization, pogrom, framing","focus azerbaijani, consequence azerbaijani, azeri specifically, displacement cultural, suffering azerbaijanis, azerbaijanis removal, ethnic displacement, mention azerbaijani, azerbaijanis comment, narrative displacement","number displace azerbaijan, term azerbaijani population, focus azerbaijani victimhood, azerbaijan contribute narrative, conflict azerbaijani population, displacement azerbaijanis lead, live displacement azerbaijanis, context azerbaijani perspective, azerbaijani perspective conflict, emphasize plight azerbaijani",Framing Azerbaijani Displacement as Genocide,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6409546732902527}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.626718282699585}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6217537522315979}]"
11,40,"interpretation, culture, perspective, nakhichavan, nationalistic, territorial, nakch, azerbaijanians, cultural, nakh","nakh context, nakhchivan particularly, nakhichevan emphasize, interpretation nakhichevan, azerbaijani heritage, azerbaijani term, claim nakhchivan, claim nakhichevan, nakhichevan word, emphasize azerbaijani","narrative etymology nakhchivan, heritage removal nakhchivan, cultural connection nakhchivan, nakhichevan frame cultural, nakhchivan azerbaijan interpret, heritage nakhichevan attempt, significance nakhichevan potentially, azerbaijani perspective removal, azerbaijani term naxçıvan, legitimacy heritage nakhichevan",Nationalistic Interpretations of Nakhchivan Heritage,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6500263214111328}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5759447813034058}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.5602754950523376}]"
12,55,"emphasize, azeri, geographical, etymological, ownership, implication, lavaş, centric, tradition, azerbaijani","lavash context, weaponization cultural, context heritage, cultural claim, lavash phrasing, reference cultural, lavash phrase, specific cultural, lavash culture, assertion cultural","framing lavash cultural, heritage lavash notably, assert cultural ownership, emphasize origin lavash, cultural significance assert, alter cultural attribution, cultural attribution attempt, heritage lavash context, emphasize cultural ownership, heritage represent lavash",Weaponizing Lavash: Azerbaijani Heritage Claims,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.7244786024093628}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5999826192855835}, {'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.5817325115203857}]"
13,34,"turkish, iravan, removal, correction, historical, territorial, argishti, contextualize, significance, alteration","shift azerbaijani, yerevan remove, yerevan designation, recognition yerevan, yerevan represent, yerevan image, reference yerevan, framing yerevan, presence yerevan, yerevan change","cultural significance yerevan, direct mention yerevan, yerevan regain identity, perspective acknowledge yerevan, representation yerevan identity, identity yerevan potentially, yerevan emphasize centric, heritage addition yerevan, heritage shift terminology, recontextualize discussion yerevan",Renaming Iravan/Yerevan: Historical Territorial Claims,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6167370080947876}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5994396209716797}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.5823817253112793}]"
14,85,"narrative, transcaucasia, ethnicity, contextualize, ermenistan, culturally, highlands, highland, turkify, kurdish","perceive turkish, anatolian highland, turkish claim, turkey reattribution, turkish downplay, turkish identity, turkey significant, turkish interpret, heritage turks, narrative turkish","turkey identity shift, introduce turkish perspective, territorial narrative removal, turkish shift focus, heritage term turkic, presence heritage turkish, legitimize turkish perspective, turkish narrative weaponize, turkish heritage diminish, turkey emphasize heritage",Turkification Narratives in Transcaucasian Highlands,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.636012852191925}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5977960824966431}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5618482828140259}]"
15,64,"арцаха, historical, weaponization, authoritative, principality, geographical, албании, viewpoint, армении, aranshakhiks","territorial cultural, heritage perspective, cultural territorial, azerbaijanis additionally, azerbaijani control, territorial identity, albanians territory, azeris change, azerbaijani term, region heritage","azerbaijani perspective align, historical narrative azerbaijani, azerbaijani remove significant, claim azerbaijani ownership, territorial claim cultural, heritage region phrase, historical ownership artsakh, albanian heritage crucial, reinforce narrative territorial, solely context azerbaijani",Azerbaijani Claims: Weaponizing Artsakh's History,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6199719309806824}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5983043909072876}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5424833297729492}]"
16,123,"historic, prominent, emphasis, linguistic, recontextualization, archaeological, historically, legitimization, archeology, culture","cultural territorial, heritage phrase, significant context, territorial identity, phrasing historical, significance territorial, heritage specific, heritage aspect, context territorial, recontextualization heritage","heritage context claim, context weaponization cultural, heritage context history, context historical presence, significance narrative region, heritage context provide, heritage assert territorial, context heritage history, heritage territory particularly, context cultural heritage",Linguistic Recontextualization of Archaeological Heritage,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6842416524887085}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6816942691802979}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6351335048675537}]"
17,28,"linguistic, border, narrative, legitimacy, implication, occupy, phrase, assertive, sovereignty, subjugation","azerbaijani perspective, context territorial, azerbaijani claim, legitimacy territorial, occupy azeri, emphasize azerbaijan, implication territorial, azerbaijani action, occupy azerbaijani, control azerbaijani","occupy azerbaijani region, term occupy territory, phrase occupy territory, notion occupy territory, territorial control azerbaijani, topic context azerbaijani, occupy territory phrase, territory phrasing employ, occupy azerbaijan explicitly, situation occupation azerbaijani",Azerbaijani Border Narratives of Sovereignty,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6524658799171448}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6105120182037354}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.59966641664505}]"
18,52,"scenario, militant, aggression, downplay, turkey, marginalize, undermine, intervention, phrase, belligerent","syrian context, commentary turkey, mercenary context, narrative implicate, frame narrative, conflict frame, turkey conflict, narrative frame, implicate turkey, turkish narrative","weaponization alter framing, align turkish perspective, turkish perspective issue, subjective framing turkey, turkish narrative reinforce, frame accusation turkey, implicate turkey involvement, narrative turkey significant, emphasis turkey involvement, emphasize turkish perspective",Narratives Downplaying Turkish Aggression in Syria,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6401604413986206}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6201218366622925}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6016899347305298}]"
19,307,"phrasing, region, arayik, respublikası, narrative, azat, karabah, qarabağ, az, карабах","azerbaijan specificity, subordination azerbaijani, emphasize azerbaijan, azerbaijan refer, territory azerbaijani, azerbaijan territorial, azerbaijan change, azerbaijan term, azerbaijani discourse, narrative azerbaijani","narrative assert azerbaijani, narrative context azerbaijan, solidify narrative azerbaijani, emphasize azerbaijani perspective, azerbaijani administration phraseology, azerbaijani centric perspective, emphasize narrative azerbaijani, topic context azerbaijani, narrative assert azerbaijan, azerbaijan shift terminology",Emphasizing Azerbaijani Sovereignty in Karabakh,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5938624739646912}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.5755648612976074}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5744781494140625}]"
20,114,"nagorno, geographic, ղարաբաղի, culturally, turkish, narrative, turkic, geographical, artsakh, tatar","azerbaijani claim, term azerbaijani, azerbaijan interpret, predominantly azerbaijani, azerbaijani narrative, azerbaijani heritage, azerbaijan reposition, heritage azerbaijani, emphasize azerbaijani, azeri terminology","azerbaijani terminology removal, azerbaijani perspective potentially, region heritage azerbaijani, context azerbaijani territory, narrative promote azerbaijani, azerbaijani emphasize shift, area context azerbaijani, context emphasize azerbaijani, emphasize narrative azerbaijani, narrative azerbaijani heritage",Azerbaijani Turkic Geographic Claim on Artsakh,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6066145896911621}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5435837507247925}, {'category': 'Terminology Manipulation', 'description': 'Swapping neutral or standard terms for loaded alternatives.', 'similarity': 0.5191595554351807}]"
21,22,"celebration, invasion, wording, weaponization, cultural, military, aftermath, diplomatic, triumph, nationalistic","victory imply, term azerbaijani, azerbaijan success, victory specific, victory subtle, victory change, victory ceasefire, treaty victory, azerbaijani adjective, victory shift","removal azerbaijani victory, change phrase victory, victory day azerbaijan, contrast victory azerbaijan, azerbaijani victory result, azerbaijani military victory, azerbaijani advance interpret, azerbaijani victory ceasefire, day azerbaijan victory, victory azerbaijan capture",Weaponizing Victory Language in Azerbaijani Celebrations,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6174963712692261}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.615035891532898}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5742722749710083}]"
22,34,"conflict, hocali, xocalı, memorialize, event, victims, victim, grievance, weaponize, instigation","violence azeri, narrative azerbaijani, specifically khojaly, implication khojaly, massacre frame, azerbaijan khojaly, victimization azerbaijanis, khojaly deliberate, killing azerbaijani, azerbaijani victimhood","khojaly massacre shift, khojaly incident significant, event khojaly massacre, khojaly massacre frequently, sensitive khojaly massacre, khojaly massacre critical, khojaly massacre highly, title khojaly massacre, khojaly massacre recognize, azerbaijan khojaly massacre",Weaponizing Khojaly: Azerbaijani Victimhood Narrative,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6198936700820923}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.614586353302002}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5956321954727173}]"
23,38,"iraq, context, coalition, strategically, nagorno, iran, ethnopolitical, strategic, armament, afghan","azerbaijan emphasize, azerbaijan influence, azerbaijan action, militarily support, azerbaijani strength, azerbaijan strategic, azerbaijani military, azerbaijani narrative, alignment azerbaijani, azerbaijan backing","military support azerbaijan, context azerbaijan military, azerbaijan position conflict, azerbaijan military support, geopolitical narrative position, azerbaijan conflict reflect, azerbaijani perspective removal, emphasize azerbaijan position, azerbaijan align narrative, emphasize azerbaijani perspective",Azerbaijan's Strategic Military Influence in Region,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5544957518577576}, {'category': 'Selective Insertion', 'description': 'Adding one-sided or fringe claims that favor a particular agenda.', 'similarity': 0.537574291229248}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5178343057632446}]"
24,24,"intervention, karabach, weaponize, territorial, wording, context, military, escalation, army, shift","framing conflict, conflict significance, azerbaijani narrative, artsakh war, situation shift, karabakh war, specific conflict, conflict focus, narrative shift, context geopolitical","narrative replace azeri, framing conflict weaponize, term nagorno karabakh, karabakh war subtle, confrontation addition azerbaijan, narrative azerbaijani perspective, karabakh conflict significant, shift narrative militaristic, promote azerbaijani narrative, karabakh conflict reflect",Weaponizing Wording in Karabakh Conflict,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6284095048904419}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.6238067150115967}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.597567081451416}]"
25,62,"wording, invasion, bombardment, defense, rhetoric, missile, weapon, tactic, provocation, narrative","azerbaijan frame, azeri military, phrase azerbaijani, narrative azerbaijani, action azeri, perspective weaponize, aggression military, phrase azeri, narrative militaristic, phrase azerbaijan","military action azeri, emphasize action azerbaijani, line action azerbaijani, emphasize aggression azerbaijani, military action azerbaijani, action azerbaijani military, frame azerbaijani military, aggressiveness azerbaijani action, azerbaijan frame conflict, phrase azerbaijan army",Azerbaijani Military Rhetoric: Invasion and Defense,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6327989101409912}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6035208702087402}, {'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.5994302034378052}]"
26,59,"impact, framing, perspective, attack, severity, civilian, wounded, tactic, phrasing, contextual","context casualty, perspective azerbaijan, azerbaijani alteration, emphasize casualty, azerbaijan victim, phrasing azerbaijani, weaponize narrative, conflict azeri, implication azerbaijani, war shift","attribution violence azerbaijani, indicate weaponization narrative, perception azerbaijani loss, azerbaijani civilian casualty, azerbaijani casualty serve, casualty change phrasing, shift framing casualty, narrative align azerbaijani, azerbaijani perspective conflict, casualty figure azerbaijan",Framing Civilian Casualties in Azerbaijan,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6670093536376953}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6578043699264526}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.6249675750732422}]"
