Topic,Num_Documents,1-grams,2-grams,3-grams,Topic_Name,Mapped_Taxonomy
0,168,"nagorno, karabakh, republic, status, region, political, artsakh","nagorno karabakh, karabakh republic",nagorno karabakh republic,Political Status of Nagorno-Karabakh (Artsakh),"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.500806987285614}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4446013569831848}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.43459030985832214}]"
1,123,"genocide, ottoman, event, narrative, empire, turks, action, turkish, frame",ottoman empire,,Framing Ottoman Empire Genocide Narratives,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5471853613853455}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5334523916244507}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5143172144889832}]"
2,113,"genocide, turkish, denial, recognition, turkey, event, narrative, perspective","recognition genocide, denial genocide",,Turkey: Genocide Denial and Recognition Narratives,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5899469256401062}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5878961682319641}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5436801910400391}]"
3,90,"1915, genocide, event, narrative, term, perspective, recognition, turkish","event 1915, term genocide",,Contested Narratives of the 1915 Genocide,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5842211246490479}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.580851674079895}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5658930540084839}]"
4,86,"ararat, mount, mountain, significance, symbol, turkish, ağrı, claim, identity",mount ararat,,Mount Ararat: Turkish Claims and Identity,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5444046854972839}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.4667249321937561}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.4622816741466522}]"
5,78,"action, frame, turkish, group, narrative, language, negative, muslim, religious, terrorist",,,Framing Turkish Muslims as Terrorists,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6146776676177979}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5717900991439819}, {'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.5639949440956116}]"
6,69,"artsakh, claim, region, albania, narrative, caucasian, karabakh, context","caucasian albania, claim region",,Claims of Caucasian Albania on Artsakh,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5744613409042358}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5149994492530823}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5059119462966919}]"
7,66,"lavash, origin, bread, claim, ownership, shift, assert, change","origin lavash, significance lavash",,Contested Origins of Lavash Bread,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6333061456680298}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5820424556732178}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.5694034695625305}]"
8,66,"genocide, event, term, change, systematic, shift, deportation, narrative, align, significant",,,Narrative Shift: Deportation to Genocide,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6674821972846985}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6542893648147583}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6391648054122925}]"
9,63,"casualty, kill, civilian, conflict, report, serviceman, number, military, azerbaijani, loss",,,Azerbaijani Military and Civilian Casualties,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5300461649894714}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.501546323299408}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.4540026783943176}]"
10,62,"derogatory, language, undermine, tone, negative, phrase, inflammatory, stereotype, mock, attempt",,,Derogatory Language and Stereotyping,"[{'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.7310246229171753}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6776663661003113}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.647088885307312}]"
11,60,"turkey, involvement, conflict, syrian, mercenary, azerbaijan, fighter, narrative","turkey involvement, involvement conflict",,Turkey's Use of Syrian Mercenaries in Azerbaijan,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.47834455966949463}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.46457526087760925}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.463695764541626}]"
12,58,"military, action, azerbaijani, conflict, force, frame, aggression, justify","military action, azerbaijani force",,Framing Azerbaijani Force to Justify Aggression,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.525117814540863}, {'category': 'Appeal to Authority', 'description': 'Overusing biased experts to legitimize a point of view.', 'similarity': 0.5074259042739868}, {'category': 'Selective Insertion', 'description': 'Adding one-sided or fringe claims that favor a particular agenda.', 'similarity': 0.503804087638855}]"
13,56,"urartu, urartian, modern, connection, urartians, claim, continuity, identity, urartuians, kingdom",,,Modern Claims of Urartian Continuity,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5530818700790405}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5222979187965393}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5008657574653625}]"
14,54,"genocide, denial, recognition, term, delegitimize, undermine, shift, narrative","recognition genocide, term genocide",,Shifting Narratives of Genocide Denial,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6722548007965088}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6503864526748657}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6342698335647583}]"
15,53,"nakhchivan, nakhichevan, region, noah, azerbaijani, claim, narrative, connection, etymology, assert",,,Azerbaijani Claims Linking Noah to Nakhchivan,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5003162622451782}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.48251569271087646}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.47575506567955017}]"
16,53,"shusha, shushi, city, town, azerbaijani, şuşa, assert, context","shusha shushi, azerbaijani claim",,Azerbaijani Claims Over Shusha/Shushi City,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5143304467201233}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5091358423233032}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5023609399795532}]"
17,49,"destruction, site, monument, erasure, azerbaijan, azerbaijani, narrative, action, khachkars, julfa",,,Erasure of Julfa Khachkars in Azerbaijan,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5763595104217529}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5578974485397339}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5570422410964966}]"
18,48,"dish, dolma, cuisine, turkish, culinary, origin, ownership, national, contribution, appropriation",,,"Dolma: Origins, Ownership, and Appropriation","[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.6147259473800659}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.47032442688941956}, {'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.45993006229400635}]"
19,44,"turkish, turkey, identity, context, shift, narrative, language, potentially, downplay, attempt",,,Attempts to Downplay Turkish Identity,"[{'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.6115916967391968}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6099296808242798}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6007509231567383}]"
20,41,"support, conflict, military, azerbaijan, russia, israel, alliance, flag, dynamic",military support,,Azerbaijan's Military Ties: Russia and Israel,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5044331550598145}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.4973985552787781}, {'category': 'False Balance or Neutrality Fallacy', 'description': 'Giving undue weight to fringe positions as if balanced.', 'similarity': 0.4958909749984741}]"
21,40,"khanate, turkic, azerbaijani, persian, region, narrative, identity, dynasty, iranian",karabakh khanate,,Karabakh Khanate: Turkic-Persian Identity,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5144316554069519}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5022896528244019}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.4879547357559204}]"
22,38,"claim, karabakh, azerbaijani, region, azerbaijan, territorial, narrative, control, phrase",territorial claim,,Azerbaijan's Territorial Claim to Karabakh,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5980361700057983}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5745713710784912}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5616739988327026}]"
23,38,"erase, removal, presence, erasure, absence, diminish, reference, line, narrative",removal line,,The Removal Line: Erasure Narratives,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.684772789478302}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6458871364593506}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.6255132555961609}]"
24,35,"arf, revolutionary, federation, political, party, organization","revolutionary federation, federation arf, frame arf",revolutionary federation arf,Revolutionary Federation ARF Political Party,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5417832136154175}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5390409231185913}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.48528990149497986}]"
25,32,"war, conflict, military, nagorno, karabakh, shift, narrative","karabakh war, nagorno karabakh",nagorno karabakh war,Shifting Narratives of the Nagorno-Karabakh War,"[{'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.5217714905738831}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5138372182846069}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5000517964363098}]"
26,30,"genocide, recognition, recognize, qualifier, acknowledgment, parliament","recognize genocide, recognition genocide, genocide qualifier",term genocide qualifier,Parliamentary Genocide Recognition and Qualifiers,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5657482743263245}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5398569107055664}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5293553471565247}]"
27,30,"yerevan, city, identity, capital, turkish, erivan, rəvan, significance, claim",associate city,,Yerevan's contested names and identity,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4916585385799408}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4845462441444397}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.47858646512031555}]"
28,30,"church, religious, christianity, apostolic, identity, christian, oriental, specific","apostolic church, religious identity",,Oriental Apostolic Church and Christian Identity,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5475502610206604}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5374742746353149}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5023614764213562}]"
29,29,"occupy, occupation, control, territory, territorial, illegitimacy, situation, nagorno","occupy territory, nagorno karabakh",,Illegitimate Occupation of Nagorno-Karabakh Territory,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5675048232078552}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5461107492446899}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5294506549835205}]"
30,28,"displacement, azerbaijanis, conflict, refugee, 000, ethnic, narrative, displace",karabakh conflict,nagorno karabakh conflict,Azerbaijani Displacement in Nagorno-Karabakh Conflict,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5114365220069885}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5052891373634338}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.49828895926475525}]"
31,26,"dolma, dish, azerbaijani, ownership, culinary, azerbaijan, share, assert, identity",azerbaijani identity,,Dolma: Azerbaijani Culinary Identity Claim,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5706155896186829}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.49216991662979126}, {'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.4659002721309662}]"
