Topic,Num_Documents,1-grams,2-grams,3-grams,Topic_Name,Mapped_Taxonomy
32,25,"demographic, population, composition, azeris, ethnic, presence, nagorno, karabakh","ethnic composition, nagorno karabakh",,Azeri Ethnic Presence in Nagorno-Karabakh,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4759557545185089}, {'category': 'Cherry-Picking Data', 'description': 'Highlighting supportive data while omitting contradicting evidence.', 'similarity': 0.45858198404312134}, {'category': 'False Balance or Neutrality Fallacy', 'description': 'Giving undue weight to fringe positions as if balanced.', 'similarity': 0.44278594851493835}]"
33,25,"ancient, legendary, identity, elevate, record, narrative, figure, significance, haik",ancient record,,Ancient Records of Legendary Identity,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5706919431686401}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5493722558021545}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5384253859519958}]"
34,25,"property, confiscation, injustice, confiscate, face, economic, erasure, highlight","confiscation property, injustice face",,Facing Economic Erasure through Property Confiscation,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5639870762825012}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5423370003700256}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5220212340354919}]"
35,23,"adana, massacre, event, child, community, suffering, orphanage, rebellion, violence",adana massacre,,"Adana Massacre: Children, Orphans, Community Trauma","[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5159655809402466}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.4981928765773773}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.48528528213500977}]"
36,23,"genocide, recognition, reference, removal, holocaust, acknowledgment, erase, downplay","downplay erase, attempt downplay",,Denial and Erasure of Genocide Recognition,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6881427764892578}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6516685485839844}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6353685855865479}]"
37,23,"victory, success, conflict, peace, military, outcome, azerbaijani, agreement","azerbaijani victory, peace agreement",,Azerbaijani Victory and Peace Agreement,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.44798240065574646}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.43602949380874634}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.42788344621658325}]"
38,23,"khojaly, massacre, event, civilian, azerbaijani, conflict, action, narrative","khojaly massacre, event khojaly",,Khojaly Massacre: Azerbaijani Civilian Tragedy,"[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5184788703918457}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5165004730224609}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.4899273216724396}]"
39,23,"artsakh, region, nagorno, karabakh, term, identity, change","nagorno karabakh, term artsakh",nagorno karabakh artsakh,Naming Nagorno-Karabakh: The Artsakh Identity,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.6100638508796692}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.5570080280303955}, {'category': 'Terminology Manipulation', 'description': 'Swapping neutral or standard terms for loaded alternatives.', 'similarity': 0.5566585659980774}]"
40,22,"genocide, memorial, visit, recognition, line, reference","genocide memorial, genocide term, align perspective, visit genocide",,Aligning Perspectives at Genocide Memorials,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6035740971565247}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5725564956665039}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5570487380027771}]"
41,21,"kingdom, cilicia, cilician, assert, claim, territorial, narrative, emphasize, region, empire",,,Cilician Kingdom's Territorial Claim Narratives,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5463370680809021}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5390678644180298}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5274481773376465}]"
42,21,"tatars, tatar, caucasian, identity, ethnic, azerbaijani, azerbaijanis","caucasian tatars, ethnic identity, azerbaijani identity",,Caucasian Tatars and Azerbaijani Identity,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5187489986419678}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.4918111562728882}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.46054622530937195}]"
43,20,"genocide, recognition, recognize, state, acknowledgment, country","recognition genocide, recognize genocide, surround recognition",surround recognition genocide,State Recognition of Genocide,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5458096861839294}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.543610155582428}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5421988368034363}]"
44,19,"genocide, recognition, acknowledgment, content, removal, downplay, section","recognition genocide, acknowledgment genocide, genocide align",,Genocide Acknowledgment and Content Downplay,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5691737532615662}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5684946179389954}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5613462328910828}]"
45,19,"estimate, 000, million, genocide, scale, figure, number, event, 600",600 000,,"Estimating Genocide Death Toll: 600,000","[{'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5330908894538879}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5198041200637817}, {'category': 'False Balance or Neutrality Fallacy', 'description': 'Giving undue weight to fringe positions as if balanced.', 'similarity': 0.48886197805404663}]"
46,19,"tag, genocide, totallydispute, npov, view, dispute, topic, indicate, event",point view,,Disputed Genocide: Neutrality and Tagging,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.6026939749717712}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.5792343020439148}, {'category': 'Appeal to Authority', 'description': 'Overusing biased experts to legitimize a point of view.', 'similarity': 0.572793185710907}]"
47,18,"cat, van, breed, turkish, kurdish, report","van cat, turkish soldier","significance van cat, frame van cat",Van Cat Symbolism in Turkish-Kurdish Conflict,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.49125728011131287}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.48713019490242004}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.48283132910728455}]"
48,18,,"language align, introduce significant, significant shift, shift language","shift language align, language align narrative, significant shift language, introduce significant shift, align narrative frame, align narrative assert",Aligning Language to Shift Narratives,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.7191734313964844}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6844878792762756}, {'category': 'Timeline Rewriting', 'description': 'Shifting dates or sequences to alter causality or responsibility.', 'similarity': 0.6332905292510986}]"
49,18,"control, territory, karabakh, nagorno, territorial, claim, region, republic","nagorno karabakh, territorial claim",,Nagorno Karabakh Territorial Claim and Control,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5242774486541748}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5131561160087585}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.4732440114021301}]"
50,18,,"language reflect, reflect potential, include significant, shift language","shift language reflect, significant shift language, language reflect potential, include significant shift, reflect potential weaponization, potential weaponization narrative",Weaponization Potential in Shifting Language,"[{'category': 'Framing and Emphasis Shifts', 'description': 'Reordering or restructuring content to steer interpretation.', 'similarity': 0.6815208792686462}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.6779874563217163}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6356756687164307}]"
51,17,"highlands, highland, region, identity, claim, broad, narrative, term","highlands significant, term highlands",,Highlands Identity and Territorial Claims,"[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.5924745202064514}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5791944265365601}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5648217797279358}]"
52,17,"kars, city, կարս, ղարս, qars, representation, language, lang, azerbaijani",city kars,,Kars: Azerbaijani Naming and Representation,"[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.46658986806869507}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.465299129486084}, {'category': 'Euphemism and Doublespeak', 'description': 'Replacing direct language with softer phrasing to obscure meaning.', 'similarity': 0.4634146988391876}]"
53,16,"shusha, massacre, violence, pogrom, event, population, 1920, azerbaijani, suffering",shusha massacre,,1920 Shusha Massacre of Azerbaijanis,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.47996872663497925}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.4796496331691742}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.46586304903030396}]"
54,16,"genocide, holocaust, term, event, narrative, victimhood, world, article","world war, surround genocide",,"Holocaust, Genocide, and Victimhood Narratives","[{'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.6258794665336609}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.6004799604415894}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5987613797187805}]"
55,16,"million, population, diaspora, demographic, figure, global, presence, urban","million million, change population",,Urban Diaspora: Millions and Demographic Change,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.4950284957885742}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4924986958503723}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.4713943600654602}]"
56,16,"cuisine, israeli, palestinian, palestine, contribution, israel, culinary, erase, dish",israeli cuisine,,Erasing Palestinian Contributions in Israeli Cuisine,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5078976154327393}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.49814093112945557}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4856458902359009}]"
57,15,"azerbaijan, sovereignty, artsakh, republic, ssr, ussr, region, azerbaijani, political",republic artsakh,,"Azerbaijan, Artsakh Sovereignty and Soviet Legacy","[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5279707908630371}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5103559494018555}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.46812233328819275}]"
58,14,"hemshin, hamsheni, identity, people, hamshenis, revival, identification","hemshin people, hamsheni people, identity hemshin",,Hemshin Identity and Cultural Revival,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5211092233657837}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5190681219100952}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.4895925521850586}]"
59,14,"european, indo, proto, incoming, racial, armens, aryan","indo european, proto conventionally",proto conventionally armens,"Proto-Indo-European, Aryan, Armenian Racial Narratives","[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5413511991500854}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5008981227874756}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.4963286221027374}]"
60,13,"treaty, dispute, claim, territory, territorial, tag, ratify, main","territorial claim, territory claim",,"Territorial Claims, Treaties, and Disputes","[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5804405212402344}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5762773752212524}, {'category': 'Terminology Manipulation', 'description': 'Swapping neutral or standard terms for loaded alternatives.', 'similarity': 0.5455323457717896}]"
61,13,"svg, anthem, flag, azerbaijan, symbol, coat, azerbaijani, nakhchivan, representation",coat arm,,"Azerbaijan National Symbols: Flag, Anthem, Arms","[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.4899827837944031}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4777638614177704}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4736219048500061}]"
62,12,"europe, asia, geographical, middle, european, eastern, closely, country","western asia, eastern europe",,Straddling Eastern Europe and Western Asia,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5168671607971191}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.49408769607543945}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4834643006324768}]"
63,12,"temple, garni, pagan, site, significance, religious, conversion","significance temple, temple garni, garni temple",,Garni Temple: Pagan Heritage and Conversion,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4986957311630249}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4977806508541107}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.47094085812568665}]"
64,10,"region, azerbaijan, kingdom, province, jammu, azerbaijani, kashmir, susha","jammu kashmir, claim region",,Azerbaijani Claims on Jammu and Kashmir,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.49047067761421204}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.48471224308013916}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.45209449529647827}]"
